Account Number,Legal Name,Owner First Name,Owner Middle Initial,Owner Last Name,Suffix,Legal Entity Owner,Title,Has Website,Social Media Presence,Marketplace Usage,Payment Digital Adoption,Active Social Media Channels,Social Media Posting Frequency,Year Started Digital Adoption,POS (Point of Sales) Usage,Online Ads Usage,E-Wallet Acceptance,Business Size,Monthly Revenue,Number of Employees,Location Type,Formalization Status,Willingness to Develop
ACC02733,Toko Berkah,Jane,B,Brown,III,UD Bersama,Director,Tidak,Tidak,Tidak,Tidak,Tidak Ada,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Ya,Medium,<5 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC02734,Warung Berkah,Bob,B,Martinez,Sr.,PT Utama,President,Tidak,Ya,Ya,Tidak,TikTok,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,>10 Orang,Pasar,Dalam Proses,Tidak Bersedia
ACC02735,Toko Mandiri,Tom,,Davis,III,CV Sentosa,President,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,>10 Orang,Rumah,Formal,Bersedia
ACC02736,Toko Maju,John,,Johnson,Sr.,PT Makmur,CEO,Ya,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Tidak,Ya,Tidak,Medium,5-15 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC02737,Usaha Jaya,Alice,B,Johnson,Sr.,PT Abadi,President,Ya,Ya,Ya,Ya,Instagram,Setiap Hari,2022-Sekarang,Tidak,Tidak,Ya,Micro,>30 Juta,3-5 Orang,Rumah,Informal,Tidak Bersedia
ACC02738,Warung Berkah,Lucy,A,Rodriguez,,PT Utama,Director,Ya,Ya,Ya,Ya,TikTok,Tidak Pernah,<2015,Tidak,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC02739,Usaha Maju,John,C,Williams,Jr.,UD Utama,Director,Tidak,Tidak,Ya,Ya,TikTok,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,<5 Juta,3-5 Orang,Online-Only,Informal,Tidak Bersedia
ACC02740,UMKM Berkah,John,B,Smith,,CV Utama,Manager,Ya,Ya,Ya,Ya,TikTok,Beberapa Kali Sebulan,2019-2021,Tidak,Ya,Tidak,Small,<5 Juta,1-2 Orang,Online-Only,Informal,Bersedia
ACC02741,Warung Sejahtera,Eve,A,Smith,Sr.,CV Sentosa,President,Tidak,Ya,Ya,Ya,Tidak Ada,Setiap Hari,2022-Sekarang,Tidak,Ya,Tidak,Small,<5 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC02742,Warung Mandiri,Tom,,Brown,Jr.,Perorangan Abadi,Director,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Medium,<5 Juta,6-10 Orang,Online-Only,Formal,Bersedia
ACC02743,Kios Berkah,Alice,B,Jones,Jr.,UD Abadi,Director,Tidak,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2015-2018,Ya,Tidak,Tidak,Small,15-30 Juta,6-10 Orang,Rumah,Formal,Tidak Bersedia
ACC02744,Usaha Berkah,Alice,C,Smith,,UD Sentosa,Owner,Ya,Tidak,Ya,Ya,Tidak Ada,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Toko,Formal,Bersedia
ACC02745,Toko Berkah,Charlie,B,Martinez,,CV Makmur,Director,Ya,Tidak,Ya,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Small,5-15 Juta,>10 Orang,Toko,Formal,Tidak Bersedia
ACC02746,Toko Berkah,Eve,A,Brown,Sr.,Perorangan Bersama,Manager,Ya,Ya,Tidak,Ya,Tidak Ada,Setiap Hari,2015-2018,Tidak,Tidak,Ya,Micro,<5 Juta,>10 Orang,Rumah,Dalam Proses,Bersedia
ACC02747,Toko Maju,Tom,A,Garcia,Sr.,Perorangan Utama,Director,Tidak,Ya,Tidak,Tidak,Facebook,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Medium,>30 Juta,6-10 Orang,Toko,Formal,Bersedia
ACC02748,Kios Mandiri,Bob,D,Rodriguez,III,CV Makmur,President,Ya,Tidak,Tidak,Ya,TikTok,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Ya,Micro,5-15 Juta,3-5 Orang,Toko,Informal,Bersedia
ACC02749,UMKM Sejahtera,Tom,B,Williams,Jr.,UD Sentosa,President,Tidak,Ya,Tidak,Ya,Instagram,Beberapa Kali Sebulan,2022-Sekarang,Ya,Ya,Ya,Micro,>30 Juta,3-5 Orang,Toko,Formal,Bersedia
ACC02750,Usaha Berkah,Ella,,Davis,,CV Sentosa,Manager,Tidak,Tidak,Tidak,Tidak,TikTok,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Small,<5 Juta,1-2 Orang,Toko,Formal,Bersedia
ACC02751,UMKM Berkah,Tom,D,Johnson,Sr.,UD Makmur,CEO,Tidak,Ya,Tidak,Tidak,Facebook,Beberapa Kali Seminggu,<2015,Tidak,Ya,Tidak,Medium,<5 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC02752,Warung Mandiri,Eve,A,Davis,Sr.,Perorangan Bersama,Owner,Tidak,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Sebulan,<2015,Tidak,Ya,Ya,Small,>30 Juta,>10 Orang,Rumah,Formal,Tidak Bersedia
ACC02753,Kios Maju,Lucy,D,Brown,Sr.,UD Sentosa,President,Tidak,Ya,Tidak,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Tidak,Medium,5-15 Juta,3-5 Orang,Online-Only,Informal,Bersedia
ACC02754,Toko Maju,Alice,C,Williams,Jr.,CV Sentosa,CEO,Tidak,Ya,Ya,Ya,Tidak Ada,Setiap Hari,2019-2021,Ya,Tidak,Ya,Medium,>30 Juta,>10 Orang,Rumah,Dalam Proses,Bersedia
ACC02755,Kios Mandiri,Eve,,Smith,Jr.,UD Sentosa,Manager,Tidak,Ya,Ya,Tidak,WhatsApp,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Medium,<5 Juta,6-10 Orang,Toko,Formal,Tidak Bersedia
ACC02756,UMKM Maju,Lucy,A,Brown,,CV Bersama,Director,Ya,Ya,Ya,Tidak,Instagram,Setiap Hari,2015-2018,Tidak,Tidak,Ya,Micro,>30 Juta,1-2 Orang,Toko,Formal,Bersedia
ACC02757,Toko Mandiri,John,D,Johnson,III,PT Sentosa,President,Tidak,Ya,Tidak,Ya,TikTok,Jarang,2022-Sekarang,Tidak,Tidak,Ya,Medium,5-15 Juta,6-10 Orang,Toko,Formal,Tidak Bersedia
ACC02758,Kios Jaya,Lucy,,Smith,Sr.,PT Abadi,Director,Tidak,Tidak,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Tidak,Ya,Tidak,Medium,5-15 Juta,3-5 Orang,Pasar,Informal,Tidak Bersedia
ACC02759,Kios Berkah,Bob,A,Miller,Sr.,CV Abadi,President,Tidak,Ya,Tidak,Ya,WhatsApp,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,>10 Orang,Pasar,Informal,Tidak Bersedia
ACC02760,UMKM Maju,Tom,C,Miller,Sr.,Perorangan Sentosa,Manager,Ya,Ya,Ya,Ya,WhatsApp,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Tidak,Medium,>30 Juta,>10 Orang,Rumah,Formal,Tidak Bersedia
ACC02761,Warung Sejahtera,Charlie,C,Miller,,PT Abadi,Director,Ya,Ya,Ya,Ya,Facebook,Jarang,<2015,Tidak,Tidak,Ya,Small,<5 Juta,6-10 Orang,Rumah,Dalam Proses,Bersedia
ACC02762,Toko Sejahtera,Charlie,B,Jones,Jr.,PT Makmur,Owner,Tidak,Tidak,Ya,Ya,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Medium,<5 Juta,3-5 Orang,Pasar,Informal,Tidak Bersedia
ACC02763,Warung Jaya,Tom,D,Miller,III,UD Makmur,Owner,Tidak,Ya,Tidak,Ya,TikTok,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Small,15-30 Juta,3-5 Orang,Online-Only,Formal,Tidak Bersedia
ACC02764,Kios Sejahtera,Jane,C,Garcia,Sr.,CV Abadi,Owner,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,<5 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC02765,Warung Mandiri,Jane,C,Johnson,Sr.,Perorangan Abadi,Manager,Ya,Ya,Ya,Ya,Instagram,Setiap Hari,2015-2018,Ya,Tidak,Tidak,Micro,5-15 Juta,1-2 Orang,Online-Only,Formal,Tidak Bersedia
ACC02766,Kios Berkah,Eve,B,Rodriguez,,Perorangan Sentosa,Owner,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Tidak,Ya,Ya,Small,>30 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC02767,Toko Berkah,John,C,Jones,Sr.,PT Makmur,Owner,Tidak,Ya,Tidak,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Medium,>30 Juta,>10 Orang,Rumah,Formal,Bersedia
ACC02768,Warung Maju,Alice,C,Davis,Jr.,PT Makmur,Director,Ya,Ya,Ya,Ya,Tidak Ada,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Small,<5 Juta,6-10 Orang,Online-Only,Formal,Tidak Bersedia
ACC02769,UMKM Jaya,David,B,Rodriguez,III,UD Utama,Manager,Tidak,Tidak,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,<2015,Ya,Tidak,Tidak,Medium,5-15 Juta,>10 Orang,Online-Only,Informal,Tidak Bersedia
ACC02770,Usaha Maju,Lucy,A,Rodriguez,,Perorangan Bersama,CEO,Ya,Ya,Tidak,Tidak,Facebook,Tidak Pernah,2015-2018,Ya,Tidak,Ya,Small,5-15 Juta,3-5 Orang,Pasar,Informal,Tidak Bersedia
ACC02771,Kios Sejahtera,Ella,B,Davis,III,CV Sentosa,President,Tidak,Ya,Tidak,Ya,Tidak Ada,Jarang,2022-Sekarang,Ya,Ya,Tidak,Micro,>30 Juta,1-2 Orang,Rumah,Formal,Bersedia
ACC02772,Warung Maju,Lucy,,Martinez,Jr.,UD Abadi,Manager,Tidak,Ya,Ya,Tidak,WhatsApp,Setiap Hari,2015-2018,Ya,Ya,Ya,Small,>30 Juta,3-5 Orang,Toko,Formal,Tidak Bersedia
ACC02773,Usaha Maju,Bob,B,Davis,Jr.,CV Abadi,Owner,Tidak,Tidak,Ya,Tidak,Tidak Ada,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Small,5-15 Juta,1-2 Orang,Pasar,Informal,Tidak Bersedia
ACC02774,Usaha Berkah,David,A,Rodriguez,Sr.,UD Utama,Owner,Ya,Tidak,Tidak,Ya,Facebook,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,15-30 Juta,6-10 Orang,Toko,Informal,Tidak Bersedia
ACC02775,Toko Jaya,David,B,Rodriguez,Jr.,PT Sentosa,CEO,Tidak,Tidak,Tidak,Tidak,TikTok,Beberapa Kali Sebulan,2019-2021,Ya,Tidak,Ya,Micro,<5 Juta,3-5 Orang,Pasar,Informal,Bersedia
ACC02776,UMKM Sejahtera,Charlie,C,Rodriguez,Jr.,CV Abadi,CEO,Tidak,Tidak,Ya,Ya,Instagram,Setiap Hari,2019-2021,Tidak,Ya,Tidak,Medium,5-15 Juta,3-5 Orang,Online-Only,Informal,Bersedia
ACC02777,Toko Maju,Lucy,B,Jones,III,Perorangan Sentosa,Owner,Tidak,Ya,Ya,Ya,WhatsApp,Tidak Pernah,2019-2021,Ya,Tidak,Ya,Micro,<5 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC02778,Usaha Maju,Lucy,A,Garcia,III,UD Makmur,Manager,Ya,Ya,Ya,Tidak,Instagram,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Medium,5-15 Juta,>10 Orang,Pasar,Dalam Proses,Bersedia
ACC02779,Kios Sejahtera,Ella,D,Rodriguez,,UD Utama,Director,Tidak,Ya,Tidak,Tidak,TikTok,Jarang,<2015,Tidak,Tidak,Ya,Micro,>30 Juta,3-5 Orang,Toko,Informal,Bersedia
ACC02780,Usaha Maju,David,A,Davis,,UD Bersama,CEO,Ya,Tidak,Ya,Ya,WhatsApp,Setiap Hari,2022-Sekarang,Tidak,Tidak,Ya,Small,5-15 Juta,>10 Orang,Rumah,Formal,Bersedia
ACC02781,UMKM Sejahtera,Charlie,C,Martinez,,PT Makmur,Manager,Ya,Ya,Ya,Tidak,Instagram,Setiap Hari,<2015,Tidak,Ya,Tidak,Micro,5-15 Juta,6-10 Orang,Toko,Formal,Bersedia
ACC02782,UMKM Sejahtera,Lucy,,Garcia,III,CV Bersama,Director,Ya,Ya,Ya,Tidak,TikTok,Beberapa Kali Seminggu,2019-2021,Tidak,Ya,Ya,Medium,<5 Juta,6-10 Orang,Pasar,Informal,Tidak Bersedia
ACC02783,Warung Jaya,Ella,D,Davis,Sr.,PT Utama,Manager,Tidak,Tidak,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,2019-2021,Ya,Tidak,Tidak,Small,>30 Juta,1-2 Orang,Pasar,Formal,Bersedia
ACC02784,Usaha Mandiri,Alice,,Martinez,Jr.,Perorangan Utama,President,Ya,Tidak,Ya,Tidak,TikTok,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,>30 Juta,1-2 Orang,Rumah,Informal,Bersedia
ACC02785,Kios Mandiri,John,A,Davis,Sr.,UD Sentosa,Director,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Ya,Small,15-30 Juta,>10 Orang,Rumah,Dalam Proses,Tidak Bersedia
ACC02786,Toko Berkah,Tom,,Johnson,Sr.,Perorangan Bersama,Director,Tidak,Ya,Tidak,Ya,WhatsApp,Jarang,2019-2021,Tidak,Ya,Tidak,Medium,15-30 Juta,>10 Orang,Pasar,Informal,Tidak Bersedia
ACC02787,Kios Jaya,Jane,C,Johnson,Sr.,PT Utama,Owner,Tidak,Tidak,Tidak,Tidak,TikTok,Jarang,<2015,Tidak,Tidak,Tidak,Small,5-15 Juta,6-10 Orang,Pasar,Informal,Bersedia
ACC02788,Usaha Mandiri,Lucy,D,Jones,Jr.,Perorangan Sentosa,Director,Tidak,Ya,Tidak,Tidak,Facebook,Jarang,<2015,Ya,Tidak,Tidak,Medium,>30 Juta,>10 Orang,Rumah,Dalam Proses,Bersedia
ACC02789,Kios Jaya,Lucy,,Martinez,,Perorangan Sentosa,CEO,Tidak,Tidak,Ya,Tidak,Instagram,Beberapa Kali Seminggu,<2015,Tidak,Ya,Tidak,Small,<5 Juta,3-5 Orang,Pasar,Formal,Tidak Bersedia
ACC02790,Kios Maju,Alice,,Johnson,Sr.,CV Utama,Manager,Tidak,Ya,Tidak,Tidak,Facebook,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Medium,<5 Juta,6-10 Orang,Pasar,Informal,Tidak Bersedia
ACC02791,Toko Jaya,David,A,Davis,Jr.,CV Sentosa,CEO,Ya,Tidak,Tidak,Ya,Tidak Ada,Setiap Hari,<2015,Ya,Tidak,Ya,Micro,5-15 Juta,1-2 Orang,Pasar,Informal,Bersedia
ACC02792,Warung Maju,Alice,C,Martinez,Jr.,CV Sentosa,President,Ya,Ya,Tidak,Tidak,Instagram,Jarang,2022-Sekarang,Ya,Tidak,Tidak,Small,15-30 Juta,6-10 Orang,Rumah,Informal,Tidak Bersedia
ACC02793,Kios Mandiri,Bob,D,Jones,III,PT Sentosa,CEO,Tidak,Tidak,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Tidak,Ya,Small,<5 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC02794,Usaha Sejahtera,John,,Miller,,PT Utama,President,Tidak,Ya,Ya,Tidak,Instagram,Jarang,Belum Mengadopsi,Tidak,Tidak,Ya,Small,<5 Juta,>10 Orang,Online-Only,Informal,Tidak Bersedia
ACC02795,Toko Sejahtera,Jane,,Johnson,Sr.,Perorangan Utama,CEO,Tidak,Ya,Tidak,Tidak,Instagram,Tidak Pernah,2022-Sekarang,Ya,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Rumah,Formal,Tidak Bersedia
ACC02796,UMKM Berkah,Eve,,Martinez,,CV Bersama,Director,Tidak,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC02797,Usaha Sejahtera,Tom,,Smith,III,Perorangan Utama,CEO,Tidak,Ya,Tidak,Ya,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,<5 Juta,1-2 Orang,Online-Only,Informal,Bersedia
ACC02798,Toko Maju,Bob,A,Miller,Jr.,CV Abadi,President,Tidak,Ya,Tidak,Tidak,WhatsApp,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,<5 Juta,6-10 Orang,Toko,Dalam Proses,Bersedia
ACC02799,Kios Berkah,John,A,Martinez,III,PT Bersama,President,Ya,Ya,Tidak,Tidak,Instagram,Tidak Pernah,2022-Sekarang,Ya,Ya,Ya,Micro,5-15 Juta,6-10 Orang,Online-Only,Dalam Proses,Bersedia
ACC02800,Kios Berkah,Bob,,Williams,,PT Abadi,Owner,Tidak,Ya,Tidak,Tidak,Facebook,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Ya,Medium,>30 Juta,>10 Orang,Online-Only,Informal,Tidak Bersedia
ACC02801,Kios Jaya,Alice,D,Brown,III,Perorangan Abadi,President,Tidak,Tidak,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC02802,Kios Berkah,Ella,A,Martinez,Jr.,UD Bersama,President,Tidak,Ya,Ya,Tidak,Facebook,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Ya,Tidak,Small,>30 Juta,6-10 Orang,Online-Only,Informal,Tidak Bersedia
ACC02803,Warung Jaya,Charlie,A,Garcia,III,CV Bersama,Owner,Ya,Tidak,Tidak,Ya,Tidak Ada,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Small,5-15 Juta,3-5 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC02804,Warung Jaya,Charlie,B,Johnson,Sr.,UD Abadi,President,Ya,Ya,Tidak,Ya,Instagram,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Small,>30 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC02805,Toko Maju,Tom,,Smith,Jr.,Perorangan Makmur,CEO,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,2015-2018,Tidak,Ya,Tidak,Small,5-15 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC02806,UMKM Berkah,Tom,C,Rodriguez,,Perorangan Sentosa,Manager,Tidak,Ya,Ya,Tidak,Facebook,Setiap Hari,2022-Sekarang,Ya,Tidak,Tidak,Micro,5-15 Juta,6-10 Orang,Pasar,Informal,Bersedia
ACC02807,Warung Maju,Tom,,Brown,,UD Makmur,Owner,Ya,Tidak,Ya,Ya,Tidak Ada,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,5-15 Juta,>10 Orang,Toko,Informal,Bersedia
ACC02808,Usaha Maju,Bob,D,Williams,Sr.,UD Sentosa,Director,Tidak,Ya,Tidak,Ya,WhatsApp,Setiap Hari,2022-Sekarang,Tidak,Ya,Tidak,Small,5-15 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC02809,Toko Berkah,Bob,D,Davis,,CV Abadi,Owner,Tidak,Tidak,Ya,Tidak,Instagram,Tidak Pernah,<2015,Ya,Tidak,Tidak,Small,5-15 Juta,1-2 Orang,Pasar,Informal,Tidak Bersedia
ACC02810,Toko Berkah,Alice,,Rodriguez,Jr.,CV Makmur,President,Tidak,Ya,Ya,Tidak,Facebook,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Small,<5 Juta,6-10 Orang,Rumah,Informal,Tidak Bersedia
ACC02811,Usaha Maju,Ella,D,Miller,Sr.,PT Makmur,Director,Tidak,Tidak,Ya,Ya,TikTok,Jarang,Belum Mengadopsi,Ya,Ya,Ya,Micro,15-30 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC02812,Kios Berkah,Tom,C,Miller,,UD Sentosa,CEO,Ya,Tidak,Tidak,Ya,WhatsApp,Jarang,2019-2021,Tidak,Tidak,Ya,Small,15-30 Juta,6-10 Orang,Pasar,Formal,Tidak Bersedia
ACC02813,Kios Jaya,Lucy,B,Rodriguez,III,Perorangan Utama,President,Tidak,Tidak,Ya,Tidak,Facebook,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Ya,Medium,15-30 Juta,1-2 Orang,Pasar,Dalam Proses,Tidak Bersedia
ACC02814,Toko Maju,Charlie,C,Miller,Jr.,UD Utama,Owner,Ya,Tidak,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2022-Sekarang,Ya,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Toko,Informal,Bersedia
ACC02815,UMKM Jaya,David,D,Rodriguez,III,PT Makmur,Owner,Tidak,Ya,Ya,Tidak,TikTok,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,5-15 Juta,>10 Orang,Rumah,Formal,Bersedia
ACC02816,Toko Sejahtera,Eve,D,Martinez,III,UD Makmur,Director,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Ya,Tidak,Tidak,Medium,15-30 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC02817,Toko Berkah,Charlie,B,Martinez,,Perorangan Makmur,Director,Ya,Ya,Ya,Ya,TikTok,Beberapa Kali Sebulan,2022-Sekarang,Ya,Tidak,Tidak,Small,15-30 Juta,1-2 Orang,Pasar,Formal,Bersedia
ACC02818,Usaha Maju,Tom,,Rodriguez,,CV Bersama,Owner,Tidak,Ya,Ya,Tidak,WhatsApp,Tidak Pernah,2022-Sekarang,Ya,Tidak,Ya,Medium,<5 Juta,>10 Orang,Toko,Dalam Proses,Tidak Bersedia
ACC02819,Kios Sejahtera,John,C,Jones,Sr.,PT Abadi,Director,Ya,Ya,Ya,Ya,Instagram,Setiap Hari,2019-2021,Ya,Ya,Ya,Micro,>30 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC02820,Toko Maju,Tom,C,Williams,Sr.,CV Abadi,Manager,Ya,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Tidak,Medium,15-30 Juta,1-2 Orang,Pasar,Informal,Bersedia
ACC02821,Kios Sejahtera,Charlie,,Smith,,UD Abadi,President,Tidak,Tidak,Tidak,Tidak,Tidak Ada,Jarang,2022-Sekarang,Tidak,Ya,Tidak,Micro,5-15 Juta,>10 Orang,Toko,Dalam Proses,Bersedia
ACC02822,Kios Maju,Charlie,D,Smith,Sr.,Perorangan Bersama,Owner,Tidak,Ya,Ya,Ya,Instagram,Jarang,2019-2021,Tidak,Tidak,Tidak,Micro,15-30 Juta,>10 Orang,Rumah,Dalam Proses,Bersedia
ACC02823,Toko Mandiri,Alice,,Brown,,UD Abadi,President,Ya,Ya,Tidak,Ya,WhatsApp,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Ya,Micro,>30 Juta,1-2 Orang,Online-Only,Formal,Tidak Bersedia
ACC02824,Toko Mandiri,Tom,C,Williams,Sr.,UD Abadi,Director,Ya,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,2019-2021,Ya,Tidak,Tidak,Medium,>30 Juta,1-2 Orang,Toko,Formal,Bersedia
ACC02825,Usaha Jaya,Eve,C,Miller,Sr.,PT Bersama,Director,Ya,Tidak,Tidak,Ya,Tidak Ada,Jarang,2015-2018,Ya,Tidak,Tidak,Micro,15-30 Juta,6-10 Orang,Toko,Dalam Proses,Bersedia
ACC02826,Usaha Mandiri,Tom,B,Garcia,Jr.,CV Sentosa,CEO,Ya,Ya,Ya,Ya,Facebook,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Micro,5-15 Juta,3-5 Orang,Toko,Informal,Bersedia
ACC02827,UMKM Mandiri,Ella,B,Smith,Sr.,CV Makmur,CEO,Tidak,Ya,Ya,Tidak,WhatsApp,Jarang,<2015,Tidak,Tidak,Ya,Medium,<5 Juta,>10 Orang,Online-Only,Informal,Tidak Bersedia
ACC02828,UMKM Jaya,Charlie,B,Brown,III,CV Utama,CEO,Ya,Ya,Tidak,Ya,Instagram,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Ya,Small,<5 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC02829,Kios Berkah,Alice,D,Smith,Sr.,UD Bersama,CEO,Tidak,Ya,Ya,Tidak,Tidak Ada,Tidak Pernah,2015-2018,Tidak,Tidak,Ya,Medium,5-15 Juta,>10 Orang,Toko,Informal,Bersedia
ACC02830,Toko Berkah,David,,Garcia,,Perorangan Utama,CEO,Tidak,Ya,Ya,Ya,Instagram,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,5-15 Juta,3-5 Orang,Rumah,Informal,Bersedia
ACC02831,Usaha Maju,Bob,B,Williams,Sr.,Perorangan Makmur,President,Tidak,Ya,Ya,Tidak,Instagram,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Small,>30 Juta,>10 Orang,Pasar,Informal,Bersedia
ACC02832,Kios Jaya,Tom,A,Jones,,Perorangan Abadi,President,Tidak,Tidak,Ya,Tidak,WhatsApp,Tidak Pernah,2015-2018,Ya,Ya,Tidak,Medium,<5 Juta,3-5 Orang,Pasar,Formal,Tidak Bersedia
ACC02833,Toko Sejahtera,Jane,D,Johnson,Sr.,UD Abadi,CEO,Tidak,Tidak,Ya,Tidak,Instagram,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Ya,Ya,Medium,<5 Juta,3-5 Orang,Pasar,Formal,Bersedia
ACC02834,Usaha Jaya,Ella,B,Johnson,III,Perorangan Makmur,President,Ya,Tidak,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Small,>30 Juta,3-5 Orang,Online-Only,Formal,Bersedia
ACC02835,Toko Berkah,John,C,Jones,,PT Abadi,Manager,Ya,Ya,Ya,Tidak,Facebook,Beberapa Kali Seminggu,<2015,Tidak,Ya,Ya,Medium,<5 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC02836,UMKM Jaya,Eve,,Williams,Sr.,CV Bersama,Manager,Tidak,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Micro,<5 Juta,1-2 Orang,Pasar,Dalam Proses,Bersedia
ACC02837,Toko Jaya,Charlie,C,Smith,,Perorangan Abadi,Owner,Ya,Ya,Tidak,Tidak,TikTok,Jarang,2015-2018,Tidak,Ya,Tidak,Small,5-15 Juta,>10 Orang,Pasar,Informal,Tidak Bersedia
